1,"000042871","Сотекс ФармФирма","330814        ","01.08.17",10,1049.29,953.9,0,10492.9,"",0,"10%","00001","упак",1,"00001","0%","2000005390265"
2,"000000679","Nycomed Pharma","10923849      ","01.11.18",300,515.94,416.92,0,154782,"",0,"10%","00001","упак",1,"00001","0%","2000005673221"
3,"000002013","Biotechnos SA","3920914       ","01.08.17",200,1411.21,1282.92,0,282242,"",0,"10%","00001","упак",1,"00001","0%","2000005657313"
4,"000000566","Balkanpharma","100714        ","01.07.16",210,127.4,0,0,26754,"",0,"10%","00001","упак",1,"00001","0%","2000005402180"
5,"000000298","Balkanpharma","070514        ","01.05.16",200,117,0,0,23400,"",0,"10%","00001","упак",1,"00001","0%","2000005402197"
6,"000002681","Merckle GmbH","N49414        ","01.12.18",100,97.9,88.01,0,9790,"",0,"10%","00001","упак",1,"00001","0%","2000005636592"
7,"000000403","Merckle GmbH","O00985        ","01.01.19",200,98.23,88.16,0,19646,"",0,"10%","00001","упак",1,"00001","0%","2000005359699"
8,"000001971","Hexal","EL8416        ","01.09.18",300,65.45,0,0,19635,"",0,"10%","00001","упак",1,"00001","0%","2000005648809"
9,"000001785","Lek","EK3368        ","01.06.16",120,304.81,283.54,0,36577.2,"",0,"10%","00001","упак",1,"00001","0%","2000005390272"
10,"000001112","Bittner Richard Gmbh","1429033D      ","01.07.19",100,168.06,152.78,0,16806,"",0,"10%","00001","упак",1,"00001","0%","2000005657320"
11,"000016907","Hexal/Салютас Фарма","4M1624        ","01.03.18",250,98.7,89.25,0,24675,"",0,"10%","00001","упак",1,"00001","0%","2000005402067"
12,"000015597","Hexal/Салютас Фарма","4E1546        ","01.04.18",244,99.55,90.39,0,24290.2,"",0,"10%","00001","упак",1,"00001","0%","2000005402074"
13,"000000533","Салютас Фарма","DU7382        ","01.11.16",150,255.31,232.1,0,38296.5,"",0,"10%","00001","упак",1,"00001","0%","2000005359729"
14,"000001365","Hexal","DD4977        ","01.06.16",100,180.73,164.3,0,18073,"",0,"10%","00001","упак",1,"00001","0%","2000005359705"
15,"000001366","Hexal","DZ1752        ","01.02.17",150,210.76,191.6,0,31614,"",0,"10%","00001","упак",1,"00001","0%","2000005359712"
16,"000003571","Hoechst/India/Ltd","0214004       ","01.01.18",50,507.85,410.38,0,25392.5,"",0,"10%","00001","упак",1,"00001","0%","2000005657283"
17,"000009328","Сотекс","0214014       ","01.05.18",300,112.89,91.23,0,33867,"",0,"10%","00001","упак",1,"00001","0%","2000005657290"
18,"000003989","Belupo","21250084      ","01.09.18",2,106.56,93.3,0,213.12,"",0,"10%","00001","упак",1,"00001","0%","2000005668647"
19,"000000446","Hoffman La Roche","GP00Z9N       ","31.07.17",150,256.52,233.2,0,38478,"",0,"10%","00001","упак",1,"00001","0%","2000005435010"
20,"000001966","Instituto de Angeli S.r.l","432425A       ","01.08.19",141,228.69,209.15,0,32245.29,"",0,"10%","00001","упак",1,"00001","0%","2000005668333"
21,"000002706","Boehringer Ingelheim","403779        ","31.05.17",50,265,0,0,13250,"",0,"10%","00001","упак",1,"00001","0%","2000005668395"
22,"000021366","Эббот Хелскеа САС","632881        ","31.01.19",20,432.52,385.48,0,8650.4,"",0,"10%","00001","упак",1,"00001","0%","2000005390289"
23,"000001156","Alcon","14G25I        ","25.07.17",100,218,0,0,21800,"",0,"10%","00001","упак",1,"00001","0%","2000005563089"
